"Name","Chapter"
"Ane Naru Mono","36"
"Ao No Exorcist","123"
"Ao No Flag","1"
"Arifureta Shokugyou De Sekai Saikyou","48"
"Battle Through The Heavens","319"
"Boku No Hero Academia","280"
"D.Gray-Man","239"
"Death March Kara Hajimaru Isekai Kyousoukyoku","73"
"Dr. Stone","160"
"Dungeon Nursery","25"
"Dungeon Seeker","34"
"Dusk Howler","92"
"Gal?Clea!","11"
"Garbage Hero: A Revenge Story Of A Hero Who Got Summoned To Another World","14"
"Gleipnir","49"
"Goblin Slayer","54"
"Hardcore Leveling Warrior","266"
"Hunter Age","95"
"Isekai Nonbiri Nouka","142"
"Jujutsu Kaisen","132"
"Kaifuku Jutsushi No Yarinaoshi","34.1"
"Kenja no mago","56.2"
"Kumo Desu Ga, Nani Ka?","50.3"
"Lv999 No Murabito","42"
"Mahou Tsukai no Yome","74"
"My Wife is a Demon Queen","266"
"Nanatsu No Taizai","346.5"
"Nozomanu Fushi No Boukensha","32"
"One Piece","1003"
"Onepunch-Man","186"
"Overlord","60"
"Pretty Face","53"
"Re:Monster","68"
"Saihate No Paladin","29"
"Solo Leveling","145"
"Spy X Family","29"
"Tensei Shitara Slime Datta Ken","82"
"The Death Mage Who Doesn't Want A Fourth Time","22"
"The Dungeon Master","51"
"The Eminence in Shadow","24"
"The Gamer","367"
"The Hero is Overpowered but Overly Cautious","10"
"The Legendary Moonlight Sculptor","170"
"The New Gate","66"
"The Rising of the Shield Hero","73"
"The Second Coming of Gluttony","47"
"The Undead Lord Of The Palace Of Darkness","9"
"UQ Holder!","175"
"World Customize Creator","78"
"Yari No Yuusha No Yarinaoshi","35"
"Yin Zhi Shoumuren","335"
"Yuusha Ga Shinda!","141"
